+-----------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |       Partitions State | Total Free Memory | Usable Free Memory |
+-----------------------------------------------------------------------------------------------+
|             0 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
|             0 |           8 |  -1, -1, -1, -1, 1, -1 |                92 |                 92 |
|             1 |          20 |   -1, -1, 2, -1, 1, -1 |                80 |                 77 |
|             4 |          34 |    -1, 3, 2, -1, 1, -1 |                66 |                 52 |
|             5 |          44 |     -1, 3, 2, 4, 1, -1 |                56 |                 42 |
|             8 |          60 |      5, 3, 2, 4, 1, -1 |                40 |                  2 |
|           895 |          48 |     5, 3, -1, 4, 1, -1 |                52 |                 17 |
|           980 |          40 |    5, 3, -1, 4, -1, -1 |                60 |                 25 |
|          1515 |          26 |   5, -1, -1, 4, -1, -1 |                74 |                 50 |
|          1990 |          16 |  5, -1, -1, -1, -1, -1 |                84 |                 60 |
|          2050 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
+-----------------------------------------------------------------------------------------------+
